#FieldID	Field	Category	UKBCategoryTreePath
27157	Area of paracentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27158	Area of parsopercularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27159	Area of parsorbitalis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27160	Area of parstriangularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27161	Area of pericalcarine (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27162	Area of postcentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27163	Area of posteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27164	Area of precentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27165	Area of precuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27166	Area of rostralanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27167	Area of rostralmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27168	Area of superiorfrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27169	Area of superiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27170	Area of superiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27171	Area of supramarginal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27172	Area of transversetemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27173	Area of insula (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27174	Mean thickness of caudalanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27175	Mean thickness of caudalmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27176	Mean thickness of cuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27177	Mean thickness of entorhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27178	Mean thickness of fusiform (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27179	Mean thickness of inferiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27180	Mean thickness of inferiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27181	Mean thickness of isthmuscingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27182	Mean thickness of lateraloccipital (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27183	Mean thickness of lateralorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27184	Mean thickness of lingual (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27185	Mean thickness of medialorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27186	Mean thickness of middletemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27187	Mean thickness of parahippocampal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27188	Mean thickness of paracentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27189	Mean thickness of parsopercularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27190	Mean thickness of parsorbitalis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27191	Mean thickness of parstriangularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27192	Mean thickness of pericalcarine (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27193	Mean thickness of postcentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27194	Mean thickness of posteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27195	Mean thickness of precentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27196	Mean thickness of precuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27197	Mean thickness of rostralanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27198	Mean thickness of rostralmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27199	Mean thickness of superiorfrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27200	Mean thickness of superiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27201	Mean thickness of superiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27202	Mean thickness of supramarginal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27203	Mean thickness of transversetemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27204	Mean thickness of insula (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27205	Volume of caudalanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27206	Volume of caudalmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27207	Volume of cuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27208	Volume of entorhinal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27209	Volume of fusiform (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27210	Volume of inferiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27211	Volume of inferiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27212	Volume of isthmuscingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27213	Volume of lateraloccipital (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27214	Volume of lateralorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27215	Volume of lingual (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27216	Volume of medialorbitofrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27217	Volume of middletemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27218	Volume of parahippocampal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27219	Volume of paracentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27220	Volume of parsopercularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27221	Volume of parsorbitalis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27222	Volume of parstriangularis (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27223	Volume of pericalcarine (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27224	Volume of postcentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27225	Volume of posteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27226	Volume of precentral (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27227	Volume of precuneus (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27228	Volume of rostralanteriorcingulate (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27229	Volume of rostralmiddlefrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27230	Volume of superiorfrontal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27231	Volume of superiorparietal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27232	Volume of superiortemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27233	Volume of supramarginal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27234	Volume of transversetemporal (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27235	Volume of insula (left hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27236	Area of caudalanteriorcingulate (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27237	Area of caudalmiddlefrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27238	Area of cuneus (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27239	Area of entorhinal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27240	Area of fusiform (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27241	Area of inferiorparietal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27242	Area of inferiortemporal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27243	Area of isthmuscingulate (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27244	Area of lateraloccipital (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27245	Area of lateralorbitofrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27246	Area of lingual (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27247	Area of medialorbitofrontal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27248	Area of middletemporal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27249	Area of parahippocampal (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27250	Area of paracentral (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
27251	Area of parsopercularis (right hemisphere)	T1 structural brain MRI	UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Freesurfer DKT
